义气相投 情投谊合 情投意忺 同心合胆 言和意顺
难乎为继 难以为继 创业维艰 难乎其难 左右两难
虑周藻密 精妙绝伦 坚苦卓绝 艰苦卓绝 妙言要道
驽箭离弦 蹑影追风 追风蹑景 十万火速 一日万里
避李嫌瓜 避瓜防李 避人耳目 违害就利 防心摄行
变生肘腋 祸生肘腋 事生肘腋 肘腋之患 曲肱而枕
张嘴挢舌 鼓舌扬唇 顿口无言 瞠目而视 瞪目哆口
囿于成见 识二五而不知十 区闻陬见 深奥莫测 半懂不懂
所费不赀 东挦西撦 东挦西扯 东寻西觅 多才多艺
解甲投戈 倒戈卸甲 一块石头落了地 脱壳金蝉 弃甲投戈
威风扫地 百战百败 救过不赡 前功尽废 敌忾同仇
真相毕露 成算在心 本相毕露 洞察其奸 众目昭彰
蚌病成珠 满腹文章 万选青钱 青钱万选 生花妙笔
文期酒会 好语如珠 好语似珠 朗朗上口 一人有庆
死气沉沉 无精打彩 无情无绪 七拱八翘 寡情薄意
温文儒雅 言气卑弱 雍容大度 闻融敦厚 道高德重
反戈一击 攻城野战 攻城略地 洗兵牧马 十围五攻
救死扶危 救困扶危 救急扶伤 持危扶颠 扶危救困
不挠不屈 钢浇铁铸 山止川行 铁面枪牙 吾膝如铁
雁塔题名 朱衣使者 开科取士 鄐诜丹桂 朱衣点头
无与为比 鲁卫之政 何其相似乃尔 一而二，二而一 同符合契
添枝接叶 有增无已 骈兴错出 日出不穷 五合六聚
优游岁月 悠闲自在 逍遥自得 逍遥自在 超然自逸
始终不懈 万世流芳 永矢弗谖 终始不渝 代代相传
火耨刀耕 火耕流种 刀耕火耘 火耕水耨 燎若观火
运拙时艰 运蹇时低 运蹇时乖 运拙时乖 失时落势
格物穷理 以理服人 即事穷理 推本溯源 一隅三反
无所用之 无如之何 无所依归 于事无补 一无可取
文似其人 文如其人 所见略同 心口相应 一而二，二而一
放马华阳 智穷才尽 民穷财匮 民穷财尽 偃革尚文
相因相生 相生相成 相辅而行 相克相济 有无相通
一朝千里 一岁三迁 火然泉达 悬崖转石 一日万里
一锤子买卖 利出一孔 一心一意 孤立无援 孤立无助
甄心动惧 慎小事微 秉节持重 谨行俭用 敬终慎始
鹤归华表 黍油麦秀 感人肺腑 悱恻缠绵 荡魂摄魄
铁板铜弦 倒峡泻河 海立云垂 徜徉恣肆 龙章秀骨
计功行赏 照功行赏 以誉为赏 论功行封 论功行赏
病国殃民 误国殃民 丧师辱国 民困国贫 移国动众
九关虎豹 恨如头醋 剥皮抽筋 视为寇雠 恶声恶气
强而后可 事在必行 害人不浅 三求四告 言多必失
举措不当 举措失当 成败在此一举 躬体力行 随时制宜
疑团莫释 不知所可 不知头脑 不知利害 以疑决疑
恶积祸盈 血债累累 作恶多端 罪恶滔天 滔天罪行
楚楚谡谡 霞姿月韵 神清骨秀 楚楚可人 仙姿玉质
革旧图新 抛乡离井 另谋高就 舍近务远 收回成命
纡金曳紫 纡佩金紫 金章紫绶 紫绶金章 腰金拖紫
独得之见 自成一格 别开蹊径 领异标新 别出新意
雪窑冰天 冰天雪窑 冰天雪地 天寒地冻 寒风侵肌
革旧图新 舍旧谋新 弃故揽新 避俗趋新 铸新淘旧
展脚伸腰 停云落月 镂骨铭肌 泰山其颓 刑于之化
无名小辈 恶语伤人 破口大骂 痛诬丑诋 横眉冷眼
无所不备 世上无难事 不爽毫发 无所不可 无所畏忌
妄谈祸福 人财两空 凭空捏造 无头无尾 一文不值
捶胸跌脚 捶胸跌足 捶胸顿脚 疾首痛心 痛心绝气
犬马之年 敬老尊贤 重望高名 典则俊雅 一日之长
叹老嗟卑 老大无成 有志无时 白首为郎 岁不我与
不吝指教 不自满假 去甚去泰 明辨是非 中立不倚
飞沙走石 走石飞沙 飞砂走石 飞沙走砾 骤雨暴风
高谈大论 秕言谬说 没查没利 淫言诐行 邪魔歪道
见机行事 相机行事 正中下怀 因人而异 短中取长
钻冰取火 钻冰求火 挑雪填井 镂冰炊砾 竹篮打水
扬威曜武 扬武耀威 扬威耀武 打击报复 先礼后兵
十死一生 入死出生 朝不及夕 命若悬丝 百死一生
深山幽谷 深山长谷 深山穷谷 深山老林 深山穷林
挺而走险 履险蹈危 临危授命 临危致命 行险徼幸
引经据典 牵经引礼 引经据古 不废江河 文章宗匠
天差地远 大有径庭 卵石不敌 相去悬殊 天冠地屦
杜隙防微 思患预防 杜渐除微 有备无患 软硬兼施
胡猜乱想 不顾大局 无所重轻 无关大局 一无所长
使乖弄巧 上下其手 沾风惹草 手眼通天 迎奸卖俏
不吝指教 来世不可待 明人不做暗事 舍生忘死 不足为意
持之以恒 说来说去 持久之计 娓娓不倦 苦心积虑
所见略同 百口同声 众口同声 心口相应 众口一词
恪守不渝 坚守不渝 连绵不绝 洁身自守 信守不渝
身无寸缕 上无片瓦，下无插针之地 上无片瓦，下无卓锥 身无寸铁 胸无点墨
众口一辞 心口相应 行合趋同 齐名并价 口耳并重
破烂不堪 破烂流丢 茫无端绪 杂乱无序 杂乱无章
时移势迁 事出有因 事过情迁 时移世异 时移势易
诗情画意 画意诗情 蕤宾铁响 鲜艳夺目 惟妙惟肖
鲁卫之政 地丑力敌 文如其人 刻木为鹄 小异大同
遭倾遇祸 遭劫在数 履险蹈危 饱经忧患 多灾多难
发扬光大 阐扬光大 继往开来 同心叶力 同心一力
事与原违 轻重倒置 危言逆耳 负类反伦 言行不符
款曲周至 和蔼可亲 和蔼近人 体贴入微 精诚团结
神枢鬼藏 雄才大略 宏才大略 雄材大略 超世之才
匠心独具 匠心独运 独得之见 别出手眼 别具手眼
违强陵弱 扶弱抑强 违害就利 安良除暴 锄强扶弱
不顾大局 舍生忘死 忧国忘家 教无常师 赏不当功
劳而无功 量小力微 徒劳无功 徒劳无益 外强中瘠
割地称臣 以德服人 尊主泽民 凤附龙攀 出震继离
穷困潦倒 民生凋敝 吉凶祸福 穷愁潦倒 家道消乏
黄龙痛饮 所向克捷 苦尽甜来 心满意得 一室生春
趋时附势 趋时奉势 亦趋亦步 攀炎附热 趋权附势
欢聚一堂 杯酒言欢 春宵一刻 万世流芳 普天同庆
挨三顶五 雾集云合 雨凑云集 铁板一块 连天匝地
不吝指教 舍生忘死 能不称官 不露形色 来世不可待
倒峡泻河 龙跳虎卧 龙章秀骨 龙飞虎跳 拏风跃云
琵琶旧语 相忍为国 割地求和 弃甲投戈 马入华山
抛乡离井 收回成命 游必有方 超凡出世 云收雨散
洒扫应对 诗礼人家 德言工容 德容言功 礼崩乐坏
物归原主 返本朝元 返本还元 去故就新 还原反本
不容置喙 不露形色 以杀止杀 以杀去杀 事不过三
天灾地妖 天灾地变 国难当头 山崩地陷 人众胜天
千里结言 杯酒言欢 义结金兰 串亲访友 游山玩景
枯鱼病鹤 牛衣岁月 啮雪餐毡 冷窗冻壁 上雨旁风
艰难困苦 狼艰狈蹶 如蹈水火 若涉渊水 上天无路，入地无门
称赏不已 推崇备至 点头咂嘴 慷慨激昂 一字褒贬
黏吝缴绕 死求白赖 混混沌沌 乜斜缠帐 死乞白赖
乐善不倦 和睦相处 茁壮成长 开眉展眼 同心合力
金屋娇娘 花颜月貌 温香艳玉 仙姿玉色 鱼沉雁落
来回来去 终而复始 层出迭见 层见错出 层出叠见
膏腴贵游 豪门巨室 金门绣户 琼厨金穴 万贯家财
急于求成 孜孜汲汲 孳孳汲汲 汲汲皇皇 连二赶三
弄假成真 信而有证 惟妙惟肖 事核言直 假门假事
知遇之恩 点头咂嘴 代人说项 言而有信 真心诚意
随地随时 随时随地 随时制宜 无论如何 听天由命
国富民安 物阜民丰 物阜民康 民富国强 国富民强
担雪填井 担雪塞井 担雪填河 井中求火 临渴掘井
一室生春 怡然自若 欢聚一堂 色色俱全 热情洋溢
雄文大手 金丹换骨 探观止矣 叹观止矣 贞高绝俗
同心叶力 同心一力 同心合力 同心并力 协心同力
天摇地动 倒山倾海 叱嗟风云 飙发电举 铜浇铁铸
避瓜防李 避李嫌瓜 避毁就誉 避人耳目 捐弃前嫌
搀前落后 见死不救 此风不可长 语无诠次 不屑教诲
人强胜天 人众胜天 骁勇善战 铜浇铁铸 人多势众
不瞅不睬 不偢不倸 收视反听 反听收视 不以为意
所见略同 行合趋同 一心同归 众口一辞 齐名并价
立时三刻 见机而作 骤不及防 一朝之患 当机立决
终始不渝 各执己见 始终不懈 安然如故 名垂万古
无虑无思 心如止水 无服之丧 安然无事 无思无虑
自食其力 民生在勤 忍苦耐劳 自给自足 自得其乐
东踅西倒 爬山涉水 餐风宿露 餐风咽露 餐风饮露
才学兼优 言之有序 运用自如 通文达艺 词正理直
偃武息戈 多管闲事 教无常师 马入华山 放马华阳
狼吞虎餐 狼餐虎咽 狼吞虎咽 形色仓皇 来势汹汹
奋发踔厉 激昂慷慨 井井有法 神飞气扬 英姿勃勃
言之有序 融会通浃 融汇贯通 融释贯通 洞中肯綮
知遇之恩 点头咂嘴 识才尊贤 令人起敬 推崇备至
餐风茹雪 餐风啮雪 餐风饮露 餐风宿雨 餐风宿露
博学多才 才学兼优 通文达艺 通才练识 才识过人
赤身裸体 合盘托出 原形败露 抛头露面 露面抛头
朱弦三叹 蕤宾铁响 匠心独具 弹丝品竹 凤吟鸾吹
危急存亡之秋 百死一生 命若悬丝 死里求生 十死一生
表里相依 痛痒相关 河同水密 生死与共 生死相依
溃兵游勇 蒙混过关 豕窜狼逋 弃文就武 弃甲曳兵
蝇头蜗角 蝇名蜗利 蜗角蝇头 蜗角虚名 蜗名微利
马如游龙 流水游龙 挨三顶五 马如流水 蜂拥而上
各为其主 自食其力 自得其乐 据为己有 祝发空门
自不待言 无忧无虑 口无择言 无所畏忌 无庸置辩
见义必为 见义勇为 负气仗义 见义当为 出师有名
清莹秀澈 冰清玉洁 玉润冰清 渊清玉絜 玉洁冰清
安分守已 安份守己 公正无私 公平无私 公事公办
避李嫌瓜 避瓜防李 以绝后患 攻疾防患 避人耳目
拿贼拿赃 拿贼见赃 揭箧担囊 贵贱无常 漫藏诲盗
客死他乡 木梗之患 三长两短 宾饯日月 諠客夺主
唯所欲为 逍遥自在 逍遥自得 放达不羁 任达不拘
匠心独运 匠心独具 取精用宏 取精用弘 清新俊逸
铮铮佼佼 脱颖囊锥 嵚崎历落 着人先鞭 鳌里夺尊
壮发冲冠 汪洋自恣 拏风跃云 磊落飒爽 壮气吞牛
宿学旧儒 文籍先生 枕典席文 邺架之藏 书香门第
羌无故实 一无所求 多管闲事 何足介意 闲杂人等
斐然成章 才学兼优 言之有序 词严义密 谈论风生
人非物是 百世不易 一成不易 永永无穷 无论如何
文修武偃 治国安邦 揆文奋武 进善退恶 礼让为国
虎狼之势 天摇地动 叱嗟风云 倒山倾海 风行电击
横无忌惮 不管三七二十一 寿不压职 惟所欲为 毫不利己，专门利人
不自满假 应变无方 无偏无陂 坚执不从 守分安常
优游自在 怡性养神 安适如常 调神畅情 旷心怡神
忿然作色 无明业火 啼啼哭哭 怫然作色 哭天喊地
七慌八乱 丢魂丧胆 心殒胆落 心寒胆战 失魂丧胆
脏污狼藉 救过不赡 贪而无信 束手就困 坏法乱纪
嚎天喊地 嚎天动地 鬼哭狼嚎 狼号鬼哭 吁天呼地
苦尽甜来 鸟枪换炮 无庸置辩 宿弊一清 无庸置疑
自视甚高 以人为镜 才识过人 我心如秤 志高气扬
偃革尚文 偃武崇文 偃武息戈 倒置干戈 放马华阳
趁人之危 置之死地 恶作剧 不切实际 惹是招非
击电奔星 风驰电赴 连三跨五 连二赶三 驽箭离弦
言颠语倒 言不顾行 言无伦次 狗屁不通 言高语低
画荻丸熊 画荻教子 画荻和丸 天上麒麟 舐犊情深
多谋善断 精明强干 精明能干 心巧嘴乖 能言快语
附势趋炎 根株附丽 傍人篱落 淮王鸡狗 附骥攀鳞
雄姿英发 英姿勃勃 龙姿凤采 铜浇铁铸 意气高昂
钻心刺骨 自掘坟墓 掘井及泉 深刺腧髓 沦浃肌髓
戴圆履方 遗簪坠舄 寸地尺天 柱天踏地 戴天履地
不饥不寒 家给人足 不避艰险 物阜民丰 无所畏惮
乌鸟私情 慈乌返哺 雏鹰展翅 哀鸿遍野 哀鸿遍地
不知起倒 不知世务 不知利害 不知轻重 查无实据
危急存亡之秋 百死一生 急痛攻心 命若悬丝 十死一生
低眉垂眼 闭口藏舌 做小伏低 伏低做小 服低做小
求益反损 里通外国 东窗计 将计就计 逆子贼臣
益国利民 济世安民 富国裕民 安国宁家 出以公心
鹄峙鸾停 雍容大度 眉目如画 霞姿月韵 典则俊雅
开来继往 变俗易教 承先启后 蹈常习故 变风改俗
饭粝茹蔬 恶衣粝食 粗衣淡饭 粗茶淡饭 划粥割齑
金兰之交 金石之坚 铁心石肠 确乎不拔 石赤不夺
大权在握 兼官重绂 广土众民 博学多才 人多势众
涤瑕蹈隙 调三斡四 拨嘴撩牙 挑三豁四 持人长短
利齿能牙 洽闻强记 谈论风生 博学多才 远见卓识
世扰俗乱 不正之风 败俗伤风 败化伤风 败俗伤化
画野分疆 画土分疆 分茅赐土 分茅胙土 分茅锡土
玉碎香消 玉碎香销 香消玉殒 玉碎香残 柳折花残
简要不烦 省烦从简 朴素无华 词约指明 以简驭繁
信守不渝 始终不懈 终始不渝 誓死不渝 坚守不渝
生动活泼 丰富多彩 谈论风生 博学多才 论议风生
蛇心佛口 佛口蛇心 心狠手辣 狠心辣手 驴心狗肺
千汇万状 丰富多彩 鲜艳夺目 丰富多采 匠心独具
刻肌刻骨 满腔热枕 感人肺腑 荡魂摄魄 惊魂夺魄
超群越辈 超群拔类 超世绝伦 轶群绝类 超群出众
誓死不渝 坚守不渝 坚持不渝 矢志不渝 矢忠不二
眼花心乱 心上心下 闷葫芦 五心六意 迷离扑朔
治国安邦 安邦治国 济世安人 扫除天下 平心定气
心如刀绞 心如刀割 急痛攻心 害人不浅 苦难深重
修辞立诚 真情实意 信而有证 事实胜于雄辩 真情实感
