水调歌头 亿兆一心 同心戮力 避其锐气，击其惰归 同心毕力
如之奈何 进退两端 进退狐疑 首施两端 见势不妙
闳意妙指 雄深雅健 奥妙无穷 笔歌墨舞 超超玄著
冲风破浪 一片汪洋 一泻百里 一泻万里 骏波虎浪
约定俗成 亡国之音 神谋魔道 事出有因 点石成金
肘腋之患 东劳西燕 珠玉在侧 事生肘腋 变生肘腋
事出有因 亡国之音 神谋魔道 点石成金 约定俗成
水调歌头 雨约云期 泥金万点 朱唇玉面 深更半夜
亡国之音 神谋魔道 约定俗成 点石成金 事出有因
櫜甲束兵 卷甲束兵 解衣卸甲 解甲投戈 放马华阳
避其锐气，击其惰归 登锋陷阵 靴刀誓死 巢焚原燎 兵无血刃
遗闻逸事 事出有因 贵贱无常 礼崩乐坏 约定俗成
点石成金 亡国之音 事出有因 约定俗成 神谋魔道
亡国之音 约定俗成 点石成金 神谋魔道 泄漏天机
事出有因 约定俗成 亡国之音 神谋魔道 点石成金
谈吐生风 洒洒潇潇 河山之德 截发留宾 斯斯文文
磨刀擦枪 金鼓喧阗 洗兵牧马 擐甲执兵 泄漏天机
在天之灵 救死扶危 怜贫恤老 骨化形销 神灭形消
艰难玉成 山高水险 艰难险阻 险阻艰难 勇猛精进
约定俗成 点石成金 事出有因 亡国之音 贵贱无常
相差无几 一模一样 等价连城 鲁卫之政 不差上下
累屋重架 屋下架屋 连类比物 比物连类 比物丑类
亡国之音 约定俗成 神谋魔道 事出有因 点石成金
事出有因 约定俗成 神谋魔道 亡国之音 点石成金
火耨刀耕 火耕流种 刀耕火耨 标枝野鹿 文身翦发
神谋魔道 亡国之音 约定俗成 点石成金 事出有因
遗闻逸事 研机综微 研精阐微 由博返约 约定俗成
如之奈何 无可如何 孤军深入 含糊不明 国难当头
约定俗成 亡国之音 点石成金 神谋魔道 事出有因
亡国之音 约定俗成 事出有因 点石成金 神谋魔道
约定俗成 事出有因 贵贱无常 亡国之音 礼崩乐坏
载驱载驰 载驰载驱 鼻端生火 流星掣电 珠流璧转
惟利是命 操奇逐赢 操赢致奇 水调歌头 鹤背扬州
讳兵畏刑 不可造次 谨本详始 三复白圭 谨始虑终
亡国之音 约定俗成 事出有因 神谋魔道 点石成金
点石成金 约定俗成 事出有因 亡国之音 神谋魔道
约定俗成 亡国之音 点石成金 神谋魔道 事出有因
霸陵醉尉 水调歌头 永无宁日 巢焚原燎 地狱变相
九关虎豹 狼子兽心 极恶穷凶 羊狠狼贪 凶神恶煞
事出有因 约定俗成 点石成金 贵贱无常 神谋魔道
绳之以法 随事制宜 随时制宜 稳步前进 因事制宜
事出有因 约定俗成 神谋魔道 点石成金 亡国之音
万死犹轻 罄竹难书 稔恶盈贯 祸稔恶积 狐裘蒙茸
沈腰潘鬓 神采英拔 一表人才 英英玉立 温香艳玉
事出有因 约定俗成 神谋魔道 点石成金 亡国之音
约定俗成 亡国之音 神谋魔道 点石成金 腰金拖紫
自成一格 别具一格 文似其人 与众不同 独得之见
冰天雪窑 雪窑冰天 岁暮天寒 冰雪严寒 白雪皑皑
约定俗成 亡国之音 点石成金 神谋魔道 事出有因
展脚伸腰 于呼哀哉 一命呜呼 泰山其颓 昊天不吊
无名小辈 阿猫阿狗 阿狗阿猫 鼠雀之辈 泥猪疥狗
疑事无功 创业维艰 勇往直前 艰难曲折 世上无难事
飞来横祸 飞灾横祸 一长两短 一长二短 天有不测风云
哀哀欲绝 疾首痛心 怫然不悦 忧愤成疾 刺心刻骨
约定俗成 亡国之音 神谋魔道 事出有因 点石成金
水调歌头 江淹才尽 弹剑作歌 龙盘凤逸 骑驴索句
如之奈何 课语讹言 含糊不明 撒骚放屁 悖言乱辞
事出有因 约定俗成 亡国之音 神谋魔道 点石成金
神谋魔道 约定俗成 亡国之音 点石成金 事出有因
各有所短 聊备一格 又作别论 又当别论 论德使能
射鱼指天 柱小倾大 面壁磨砖 据图刎首 温生绝裾
亡国之音 约定俗成 神谋魔道 事出有因 点石成金
贵贱无常 事出有因 食为民天 约定俗成 礼崩乐坏
亡国之音 约定俗成 事出有因 神谋魔道 点石成金
神谋魔道 约定俗成 亡国之音 点石成金 事出有因
点石成金 亡国之音 约定俗成 神谋魔道 事出有因
贵贱无常 事出有因 点石成金 食为民天 约定俗成
桑土之防 枉突徙薪 桑土绸缪 水调歌头 香药脆梅
水调歌头 画沙印泥 朱弦三叹 怪模怪样 洒洒潇潇
使乖弄巧 撩云拨雨 拈花弄柳 赢奸卖俏 卖俏迎奸
如之奈何 不足为意 小不忍则乱大谋 总而言之 恬不为意
番来覆去 亦复如是 而今而后 笃而论之 各执一词
神谋魔道 点石成金 约定俗成 亡国之音 事出有因
事出有因 约定俗成 点石成金 神谋魔道 亡国之音
身无寸缕 挨冻受饿 身无长处 一无长物 别无长物
约定俗成 事出有因 神谋魔道 亡国之音 点石成金
水调歌头 屋下架屋 破瓜之年 四分五剖 怪模怪样
亡国之音 事出有因 点石成金 约定俗成 神谋魔道
亡国之音 约定俗成 点石成金 神谋魔道 事出有因
事出有因 点石成金 贵贱无常 约定俗成 神谋魔道
三长两短 山高水低 劫后余生 水火之中 遭倾遇祸
亡国之音 约定俗成 神谋魔道 点石成金 事出有因
亡国之音 约定俗成 神谋魔道 点石成金 事出有因
沸反盈天 乐天安命 瑰意奇行 琼浆金液 顾景惭形
水调歌头 龙韬豹略 避其锐气，击其惰归 枕席还师 骑驴索句
水调歌头 朝华夕秀 镂玉裁冰 画沙印泥 匠心独具
事出有因 约定俗成 亡国之音 点石成金 神谋魔道
约定俗成 事出有因 亡国之音 神谋魔道 点石成金
水调歌头 画沙印泥 击电奔星 骑驴索句 如之奈何
约定俗成 亡国之音 事出有因 点石成金 神谋魔道
十室九匮 贯朽粟陈 天外有天 粟红贯朽 穷山恶水
亡国之音 神谋魔道 约定俗成 点石成金 事出有因
趋时附势 趋炎附热 趋炎附势 阿时趋俗 追趋逐耆
欢聚一堂 十日之饮 熬更守夜 春宵一刻 分宵达曙
连类比物 比物连类 纷纷籍籍 林林总总 波属云委
学而时习之 酌古御今 如之奈何 悔其少作 时不我与
神龙见首 汪洋自肆 风流跌宕 跌荡风流 铿金戛玉
亡国之音 约定俗成 神谋魔道 点石成金 事出有因
点石成金 贵贱无常 事出有因 逾墙越舍 辞不达义
亡国之音 约定俗成 神谋魔道 点石成金 事出有因
物归原主 原璧归赵 还原反本 汶阳田反 光复旧物
三从四德 君子三戒 雨约云期 全受全归 逾墙钻穴
约定俗成 事出有因 神谋魔道 亡国之音 点石成金
约定俗成 事出有因 点石成金 亡国之音 神谋魔道
牛衣岁月 枯鱼病鹤 窄门窄户 在陈之厄 熬姜呷醋
狼艰狈蹶 如蹈水火 若涉渊水 倦尾赤色 握蛇骑虎
天外有天 识才尊贤 肝心涂地 顺天者昌，逆天者亡 合情合理
破桐之叶 楚云湘雨 连枝共冢 混混沌沌 云尤雨殢
疑事无功 如之奈何 美意延年 又当别论 又作别论
约定俗成 亡国之音 事出有因 点石成金 神谋魔道
再三再四 来回来去 一日三覆 一日三复 喃喃自语
大家闺秀 龙血凤髓 富家大室 富家巨室 名门世族
急于求成 迫不可待 悬鼓待椎 烧眉之急 迫不及待
一命鸣呼 同舟敌国 无名之师 时不我与 名我固当
立时三刻 如之奈何 间不容缓 称赏不已 又作别论
随地随时 随时随地 而今而后 天高地下 茶余酒后
恭贺新禧 本固邦宁 四海升平 骑驴倒堕 太平盛世
神谋魔道 亡国之音 约定俗成 点石成金 事出有因
亡国之音 点石成金 事出有因 约定俗成 神谋魔道
点石成金 约定俗成 亡国之音 事出有因 神谋魔道
协心同力 齐心并力 同心叶力 同心一力 一德一心
约定俗成 亡国之音 神谋魔道 事出有因 点石成金
是非只为多开口 辞不达义 事出有因 贵贱无常 积习成俗
乳臭未干 犬吠之盗 深更半夜 黑更半夜 水调歌头
愚公移山 移山造海 战天斗地 移山倒海 移山填海
置之不理 傍观冷眼 待理不理 不揪不采 不揪不採
约定俗成 事出有因 神谋魔道 点石成金 亡国之音
三长两短 一长二短 一长两短 灾难深重 遭劫在数
水调歌头 画沙印泥 击电奔星 出出律律 雨鬣霜蹄
