协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
左右两难 进退两端 进退狐疑 创业维艰 难以为继
言约旨远 匠心独运 言简意深 精妙绝伦 清微淡远
沸沸汤汤 冲风破浪 混混泇泇 断决如流 急流勇进
避瓜防李 避李嫌瓜 弄虚作假 诲奸导淫 防芽遏萌
变生肘腋 事生肘腋 祸生肘腋 肘腋之患 捉襟肘见
顿口无言 亢音高唱 缄口不言 豁口截舌 缄口无言
一面之识 只知其一，不知其二 肤见謭识 肤见谫识 半面之旧
爱不忍释 沿门讬钵 扫锅刮灶 寸铁在手 全盘托出
解甲投戈 倒戈卸甲 脱壳金蝉 弃甲倒戈 櫜甲束兵
大败亏输 百战百败 无往不克 大败亏轮 以战去战
破奸发伏 发隐擿伏 洞察其奸 信而有证 擿奸发伏
蚌病成珠 生花之笔 生花妙笔 跛行千里 月露风云
文期酒会 读书种子 诗酒风流 流脍人口 枕典席文
无精打彩 兴味索然 手不应心 无可名状 无情无绪
温文儒雅 修身洁行 雍容大度 整衣敛容 酸文假醋
洗兵牧马 选兵秣马 练兵秣马 秣马厉兵 历兵秣马
救死扶危 临危授命 救难解危 见危致命 救困扶危
衔石填海 铁面枪牙 钢浇铁铸 长风破浪 山止川行
雁塔题名 朱衣使者 开科取士 及第成名 策名委质
惟妙惟肖 独一无二 何其相似乃尔 鲁卫之政 小异大同
添枝接叶 累土聚沙 东拼西凑 床上施床 头上安头
劳逸结合 安土乐业 悠闲自在 超然自逸 删华就素
始终不懈 诗礼之训 诲人不倦 画荻丸熊 谆谆善诱
火耨刀耕 火耕流种 刀耕火耘 火急火燎 以火救火
束手就困 运拙时艰 运拙时乖 运蹇时乖 运蹇时低
研机综微 格物穷理 即事穷理 研精阐微 通幽洞微
孤立无援 孤立无助 孤立寡与 泥菩萨过江 无所用之
文似其人 文如其人 言之有序 修辞立诚 惟妙惟肖
国富兵强 富国强兵 强兵富国 拥兵自固 丧师辱国
相生相成 相因相生 相辅而行 相克相济 一搭一档
驱霆策电 一朝千里 火然泉达 悬崖转石 风驰电赴
将本求利 一锤子买卖 因小失大 射利沽名 将本求财
慎小事微 甄心动惧 敬终慎始 熟思审处 秉节持重
不堪言状 不可胜道 不可言状 语短情长 百端交集
铁板铜弦 徜徉恣肆 倒峡泻河 龙章秀骨 海立云垂
照功行赏 计功行赏 班功行赏 量能授官 以誉为赏
病国殃民 忧国爱民 为民除害 与民除害 误国殃民
九关虎豹 拒人千里 剥皮抽筋 雕心鹰爪 势倾朝野
三求四告 自告奋勇 千叮万嘱 赌咒发誓 东央西告
随时制宜 举措失当 举措不当 因地制宜 因人制宜
疑团莫释 以疑决疑 不知头脑 心中无数 胸中无数
恶积祸盈 作恶多端 血债累累 罪应万死 罪当万死
鹄峙鸾停 神清骨秀 楚楚谡谡 霞姿月韵 气宇轩昂
不务正业 忙里偷闲 安土乐业 自我牺牲 革旧图新
重金兼紫 金章紫绶 佩紫怀黄 传爵袭紫 传龟袭紫
独得之见 自成一格 别开蹊径 匠心独具 别创一格
冰天雪窑 雪窑冰天 冰天雪地 天寒地冻 冰天雪窖
革旧图新 破旧立新 除旧更新 弃故揽新 铸新淘旧
展脚伸腰 青肝碧血 以身殉职 出死入生 一人有庆
无名小辈 含垢忍耻 恶语伤人 含污忍垢 冷嘲热骂
世上无难事 不避艰险 知难而进 畅行无阻 畅通无阻
飞来横祸 飞灾横祸 天有不测风云 一长两短 一长二短
疾首痛心 失魂丧魄 捶胸顿脚 捶胸跌足 捶胸跌脚
敬老尊贤 犬马之年 一日之长 尊姓大名 年高望重
方滋未艾 方兴未已 有志无时 桑榆之景 衰当益壮
秉节持重 干干翼翼 中立不倚 去甚去泰 詀言詀语
飞沙走石 走石飞沙 飞砂走石 飞沙走砾 飞砂转石
秕言谬说 没查没利 高谈大论 矫言伪行 诡言浮说
各取所需 自行其是 见机行事 备而不用 相机行事
钻火得冰 煎水作冰 一手托天 道傍之筑 钻冰求火
百般刁难 威胁利诱 威迫利诱 扬威曜武 扬威耀武
十死一生 命若悬丝 朝不及夕 百死一生 入死出生
深山穷谷 深山长谷 深山幽谷 深山穷林 深山老林
时诎举赢 挺而走险 咬紧牙关 救难解危 时绌举赢
引经据典 不废江河 引经据古 牵经引礼 借古讽今
天差地远 卵石不敌 天壤悬隔 天冠地屦 相去悬殊
防患未萌 攻疾防患 防祸于未然 思患预防 早占勿药
不顾大局 不足为意 混然天成 无际可寻 不顾一切
使乖弄巧 搬唇弄舌 饭牛屠狗 雁过拨毛 应节合拍
慎小事微 无所重轻 不足为意 不矜细行 急处从宽
说来说去 营营逐逐 暮四朝三 高天厚地 循环无端
众口一词 心口相应 所见略同 异口同声 恶语相加
秘而不露 秘而不言 公明正大 洁身自守 忠不避危
身无寸缕 上无片瓦，下无插针之地 有气无烟 上无片瓦，下无卓锥 黑灯瞎火
赌咒发誓 表里一致 表里相符 行不更名，坐不改姓 口角风情
茫无端绪 破烂不堪 杂乱无序 杂乱无章 破烂流丢
时移势迁 持权合变 事过景迁 一反常态 见势不妙
惟妙惟肖 龙章凤彩 烘托渲染 朱弦三叹 才夸八斗
鲁卫之政 弹丸黑志 一斑半点 片鳞半爪 微乎其微
遭倾遇祸 一长二短 一长两短 时运不济 国步艰难
发扬光大 砥砺名节 承先启后 奋发有为 取精用弘
轻重失宜 贵古贱今 囿于成见 饰非遂过 非昔是今
赤心相待 和蔼可亲 和蔼近人 问寒问暖 体恤入微
神枢鬼藏 出圣入神 神谟庙算 异闻传说 惊心眩目
匠心独运 匠心独具 清新俊逸 独得之见 游心骇耳
扶弱抑强 锄强扶弱 抱打不平 打抱不平 违强陵弱
重气轻命 重气轻生 重义轻生 轻身重义 轻身殉义
劳而无功 徒劳无功 量小力微 力不能及 力倍功半
颂德歌功 砥行立名 游光扬声 凤附龙攀 砥节奉公
穷困潦倒 步雪履穿 富埒陶白 囊匣如洗 民殷国富
黄龙痛饮 料敌制胜 转败为胜 所向克捷 破竹之势
趋时附势 附影附声 一隅之说 潜窃阳剽 蹈袭前人
欢聚一堂 三五成群 杯酒言欢 普天同庆 娱妻弄子
挨三顶五 捱三顶五 捱三顶四 雾集云合 成千上万
以人为镜 取长弃短 以往鉴来 事不师古 不足为法
倒峡泻河 龙章秀骨 龙飞虎跳 徜徉恣肆 龙跳虎卧
琵琶旧语 相忍为国 还我河山 割地求和 卖国求利
变躬迁席 收回成命 云收雨散 抛乡离井 游必有方
祖宗家法 大逆无道 诗礼人家 洒扫应对 陈规陋习
物归原主 返本还元 返本朝元 还原反本 去故就新
去甚去泰 在色之戒 闲邪存诚 上蒸下报 造谣生非
天灾地妖 天灾地变 天授地设 飞灾横祸 飞来横祸
千里结言 义结金兰 生死之交 一面之缘 一路顺风
啮雪餐毡 狼艰狈蹶 枯鱼病鹤 步雪履穿 如蹈水火
艰难困苦 如蹈水火 狼艰狈蹶 若涉渊水 生民涂炭
点头咂嘴 不置褒贬 推崇备至 不识抬举 鼓舞人心
黏吝缴绕 合而为一 缠夹不清 通同一气 无尽无休
抖擞精神 抖搂精神 茁壮成长 同心合力 同心并力
花颜月貌 一笑倾城 鱼沉雁落 杏脸桃腮 温香艳玉
来回来去 汲汲忙忙 三翻四复 返来复去 再三再四
家道从容 琼厨金穴 千金之家 肥甘轻暖 铜山金穴
急于求成 孳孳汲汲 孜孜汲汲 汲汲皇皇 功败垂成
弄假成真 谑而不虐 倒因为果 假戏真做 原始见终
赏不逾时 赏立诛必 当机立断 观机而动 待时而动
随时施宜 相时而动 执两用中 随时制宜 当机立断
国富民安 民富国强 国计民生 民生国计 国富民强
担雪填井 担雪塞井 担雪填河 堙谷堑山 井中求火
一室生春 怡然自若 热情洋溢 轰堂大笑 激昂慷慨
雄文大手 不废江河 生花妙笔 生花之笔 匠心独具
同心一力 同心叶力 同心并力 同心合力 精诚团结
倒山倾海 天摇地动 拔山举鼎 叱嗟风云 倒海翻江
避毁就誉 避李嫌瓜 招是搬非 避瓜防李 王顾左右而言他
放虎遗患 掷鼠忌器 狗盗鼠窃 拿腔做势 鼠偷狗盗
人强胜天 人众胜天 竭智尽力 有识之士 不避艰险
不瞅不睬 不偢不倸 视而不见 待理不理 不管不顾
相辅而行 点头咂嘴 众口一辞 同出一辙 同心合力
毒手尊前 飞灾横祸 飞来横祸 祸在旦夕 拥雾翻波
蛇化为龙，不变其文 出乎意外 余波未平 靡然顺风 视微知著
安然无事 无虑无思 高枕勿忧 恬淡无为 焦唇干舌
自食其力 民生在勤 一分耕耘，一分收获 分劳赴功 南贩北贾
东踅西倒 爬山涉水 登山越岭 磨穿铁鞋 餐风宿水
用其所长 多才多艺 多文为富 通文达艺 学以致用
马入华山 保境息民 以战去战 偃武息戈 边尘不惊
