情投意忺 情投谊合 协心戮力 同心合胆 协心同力
左右两难 首尾两端 进退两端 进退狐疑 艰难曲折
雄深雅健 沈博绝丽 格高意远 闳意眇指 金鴗擘海
冲风破浪 骏波虎浪 波涛汹涌 蹑影追风 追风蹑景
避李嫌瓜 避瓜防李 诲奸导淫 闲邪存诚 违害就利
事生肘腋 变生肘腋 祸生肘腋 肘腋之患 肘胁之患
张嘴挢舌 顿口无言 掩口葫芦 杜口结舌 豁口截舌
闻名不如见面 一面之识 一面之款 半面之旧 识二五而不知十
沿门讬钵 解囊相助 云行雨施 成人之善 分贫振穷
解甲投戈 櫜甲束兵 弃甲投戈 倒戈卸甲 解兵释甲
百战百败 大败亏输 全军覆没 全军覆灭 壹败涂地
洞察其奸 端倪可察 真相毕露 东窗事发 众目昭彰
蚌病成珠 生花之笔 生花妙笔 满腹文章 笔头生花
文期酒会 识礼知书 朗朗上口 琴歌酒赋 犀角烛怪
无精打彩 无精嗒彩 无情无彩 哭丧着脸 怏怏不乐
温文儒雅 雍容大度 英英玉立 典则俊雅 言气卑弱
洗兵牧马 励兵秣马 练兵秣马 秣马厉兵 历兵秣马
救死扶危 救困扶危 扶危救困 救急扶伤 济苦怜贫
铁面枪牙 钢浇铁铸 长风破浪 衔石填海 不挠不屈
雁塔题名 及第成名 开科取士 朱衣点头 朱衣使者
相差无几 一毫不差 独一无二 鲁卫之政 不差上下
添枝接叶 有增无已 添枝增叶 源源不断 日出不穷
劳逸结合 优游岁月 安身乐业 自食其力 安家乐业
诗礼之训 谆谆不倦 屡教不改 谆谆善诱 晨提夕命
火耨刀耕 火耕流种 刀耕火耘 火耕水耨 火耕水种
如蹈水火 运拙时艰 运拙时乖 运蹇时乖 运蹇时低
格物穷理 即事穷理 推本溯源 研精阐微 通幽洞微
孤立寡与 渺无人烟 孤立无援 孤立无助 无所依归
文似其人 文如其人 所见略同 言之有序 文章宗工
国富兵强 强兵富国 富国强兵 龙腾虎踞 偃武息戈
根据槃互 表里相依 根据盘互 阿党比周 相辅而行
一朝千里 日行千里 驱霆策电 一日千里 骐骥过隙
将本求利 将本求财 一锤子买卖 有利可图 惟利是命
敬终慎始 慎小事微 甄心动惧 秉节持重 谨行俭用
