情投意忺 情投谊合 协心戮力 协心同力 道合志同
左右两难 进退两端 进退狐疑 首尾两端 进退无措
闳意眇指 闳意妙指 沈博绝丽 雄深雅健 精妙绝伦
冲风破浪 蹑影追风 追风蹑景 一泻百里 一泻万里
避瓜防李 避李嫌瓜 闲邪存诚 违强陵弱 避人耳目
变生肘腋 祸生肘腋 事生肘腋 肘腋之患 曲肱而枕
顿口无言 张嘴挢舌 掩口葫芦 龈齿弹舌 豁口截舌
闻名不如见面 一面之识 一面之缘 一面之款 半面之旧
沿门讬钵 云行雨洽 解囊相助 云行雨施 轻财好施
解甲投戈 弃甲投戈 倒戈卸甲 解兵释甲 解衣卸甲
百战百败 大败亏输 必不挠北 壹败涂地 前功尽灭
洞察其奸 端倪可察 真相毕露 东窗事发 众目昭彰
蚌病成珠 生花妙笔 生花之笔 满腹文章 咳珠唾玉
文期酒会 琴歌酒赋 诗酒风流 一吟一咏 识礼知书
无精打彩 无情无绪 兴如嚼蜡 无精嗒彩 无情无彩
温文儒雅 雍容大度 酸文假醋 识礼知书 雍容闲雅
洗兵牧马 选兵秣马 励兵秣马 厉兵粟马 历兵粟马
救死扶危 救困扶危 救急扶伤 扶危救困 临危授命
长风破浪 铁面枪牙 不挠不屈 衔石填海 钢浇铁铸
雁塔题名 朱衣使者 及第成名 鄐诜丹桂 开科取士
何其相似乃尔 独一无二 无可比拟 鲁卫之政 不差上下
添枝接叶 源源不断 日出不穷 累足成步 重床叠屋
劳逸结合 安家乐业 安生乐业 安身乐业 优游岁月
诗礼之训 诲人不倦 谆谆不倦 晨提夕命 诲人不惓
火耨刀耕 火耕流种 刀耕火耘 火耕水耨 寒耕暑耘
如蹈水火 狼艰狈蹶 啮雪餐毡 艰难困苦 运拙时艰
格物穷理 研机综微 即事穷理 研精阐微 钩玄猎秘
孤立寡与 无如之何 无所依归 无可如何 莫敢谁何
文似其人 文如其人 文章宗工 言之有序 惟妙惟肖
国富兵强 强兵富国 龙腾虎踞 偃武息戈 富国强兵
根据槃互 阿党比周 朋比为奸 根据盘互 声气相通
一朝千里 驱霆策电 一日万里 一日千里 骐骥过隙
将本求利 惟利是命 将本求财 有利可图 取巧图便
