义气相投 情投意忺 情投谊合 协心戮力 同心合胆
创业维艰 难乎为继 难以为继 难乎其难 左右两难
雄深雅健 虑周藻密 精妙绝伦 鸿笔丽藻 坚苦卓绝
驽箭离弦 骏波虎浪 沸沸汤汤 冲风破浪 流星飞电
避李嫌瓜 避瓜防李 避人耳目 防患未萌 昭德塞违
变生肘腋 祸生肘腋 事生肘腋 肘腋之患 曲肱而枕
张嘴挢舌 嗑牙料嘴 磕牙料嘴 瞠目而视 亢音高唱
半懂不懂 识二五而不知十 深奥莫测 囿于成见 区闻陬见
东挦西扯 东挦西撦 东寻西觅 东挪西借 所费不赀
解甲投戈 倒戈卸甲 櫜甲束兵 弃甲投戈 解衣卸甲
百战百败 威风扫地 大败亏输 敌忾同仇 壹败涂地
本相毕露 真相毕露 罪恶昭彰 公是公非 端倪可察
蚌病成珠 青钱万选 万选青钱 一手托天 钻火得冰
文期酒会 好语似珠 好语如珠 识礼知书 一人有庆
无情无绪 无精打彩 乘兴而来，败兴而归 寡情薄意 泥菩萨过江
温文儒雅 言气卑弱 正大光明 雍容大度 闻融敦厚
反戈一击 励兵秣马 洗兵牧马 攻城野战 秣马厉兵
救死扶危 救困扶危 扶危救困 救急扶伤 持危扶颠
山止川行 钢浇铁铸 不挠不屈 长风破浪 铁面枪牙
朱衣使者 雁塔题名 及第成名 开科取士 朱衣点头
无与为比 鲁卫之政 一而二，二而一 独一无二 何其相似乃尔
添枝接叶 有增无已 骈兴错出 连三接二 连三接四
优游岁月 悠闲自在 劳逸结合 安身乐业 逍遥自在
始终不懈 代代相传 终始不渝 永矢弗谖 诗礼之训
火耨刀耕 火耕流种 刀耕火耘 火耕水耨 火急火燎
运拙时艰 运蹇时低 运蹇时乖 运拙时乖 进退狼狈
格物穷理 即事穷理 以理服人 推本溯源 研精阐微
无如之何 无所用之 无所依归 无头无尾 一无可取
文似其人 文如其人 心口相应 所见略同 言行相符
放马华阳 偃革尚文 偃武息戈 休牛散马 休牛归马
相辅而行 相因相生 相克相济 相生相成 根据槃互
一朝千里 日行千里 一岁三迁 火然泉达 悬崖转石
一锤子买卖 利出一孔 头一无二 一心一意 孤立无援
甄心动惧 慎小事微 秉节持重 谨行俭用 去甚去泰
触目兴叹 鹤归华表 感人肺腑 语重心沉 悱恻缠绵
铁板铜弦 倒峡泻河 海立云垂 拏风跃云 壮气吞牛
计功行赏 照功行赏 论功行封 以誉为赏 班功行赏
误国殃民 病国殃民 丧师辱国 移国动众 残民害物
九关虎豹 剥皮抽筋 视为寇雠 暴虐无道 恨如头醋
三求四告 事在必行 恪守不渝 言多必失 令不虚行
举措失当 举措不当 随时制宜 成败在此一举 行易知难
疑团莫释 不知所可 不知头脑 以疑决疑 众难群疑
血债累累 恶积祸盈 作恶多端 赃盈恶贯 千千万万
楚楚谡谡 霞姿月韵 神清骨秀 鹄峙鸾停 松形鹤骨
革旧图新 抛乡离井 舍近务远 另谋高就 捐弃前嫌
纡佩金紫 金章紫绶 纡金曳紫 紫绶金章 拖金委紫
独得之见 自成一格 别开蹊径 标新创异 标新竖异
雪窑冰天 冰天雪窑 冰天雪地 天寒地冻 折胶堕指
舍旧谋新 革旧图新 弃故揽新 破旧立新 铸新淘旧
展脚伸腰 泰山其颓 停云落月 焚香礼拜 扣壶长吟
无名小辈 恶语伤人 横眉冷眼 痛诬丑诋 破口大骂
世上无难事 无所不备 无所不可 不爽毫发 无所畏忌
妄谈祸福 人财两空 无妄之忧 于事无补 一文不值
捶胸跌脚 捶胸顿脚 捶胸跌足 痛心绝气 唾壶击缺
犬马之年 敬老尊贤 齿过肩随 一日之长 重望高名
叹老嗟卑 老大无成 白首之心 白首为郎 才疏志大
不吝指教 去甚去泰 秉节持重 事不宜迟 和而不唱
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 风起水涌
高谈大论 没查没利 秕言谬说 矫言伪行 淫言诐行
见机行事 短中取长 因人而异 正中下怀 相机行事
钻冰求火 钻冰取火 镂冰炊砾 挑雪填井 竹篮打水
扬威耀武 扬威曜武 扬武耀威 近交远攻 拔刀相向
十死一生 朝不及夕 命若悬丝 入死出生 百死一生
